# ********************* ADVECTIVE LINKS *********************
#  ADVECTIVE LINK NO        UPSTREAM BOX      DOWNSTREAM BOX             FLOW TS      FLOW TS VAR NO
                   1                   1                  10                   1                   1
                   2                  10                   1                   1                   2
                   3                   1                  12                   1                   3
                   4                  12                   1                   1                   4
                   5                   1                  13                   1                   5
                   6                  13                   1                   1                   6
                   7                   2                  24                   1                   7
                   8                  24                   2                   1                   8
                   9                   2                  24                   1                   9
                  10                  24                   2                   1                  10
                  11                   2                  24                   1                  11
                  12                  24                   2                   1                  12
                  13                   2                  24                   1                  13
                  14                  24                   2                   1                  14
                  15                   2                  25                   1                  15
                  16                  25                   2                   1                  16
                  17                   3                  15                   1                  17
                  18                  15                   3                   1                  18
                  19                   3                  17                   1                  19
                  20                  17                   3                   1                  20
                  21                   3                  21                   1                  21
                  22                  21                   3                   1                  22
                  23                   3                  23                   1                  23
                  24                  23                   3                   1                  24
                  25                   4                  12                   1                  25
                  26                  12                   4                   1                  26
                  27                   4                  13                   1                  27
                  28                  13                   4                   1                  28
                  29                   4                  16                   1                  29
                  30                  16                   4                   1                  30
                  31                   5                   6                   1                  31
                  32                   6                   5                   1                  32
                  33                   5                   9                   1                  33
                  34                   9                   5                   1                  34
                  35                   5                  22                   1                  35
                  36                  22                   5                   1                  36
                  37                   6                   8                   1                  37
                  38                   8                   6                   1                  38
                  39                   6                  25                   1                  39
                  40                  25                   6                   1                  40
                  41                   7                  11                   1                  41
                  42                  11                   7                   1                  42
                  43                   7                  13                   1                  43
                  44                  13                   7                   1                  44
                  45                   8                   9                   1                  45
                  46                   9                   8                   1                  46
                  47                   8                  14                   1                  47
                  48                  14                   8                   1                  48
                  49                   8                  17                   1                  49
                  50                  17                   8                   1                  50
                  51                   9                  20                   1                  51
                  52                  20                   9                   1                  52
                  53                  10                  12                   1                  53
                  54                  12                  10                   1                  54
                  55                  11                  20                   1                  55
                  56                  20                  11                   1                  56
                  57                  11                  22                   1                  57
                  58                  22                  11                   1                  58
                  59                  12                  13                   1                  59
                  60                  13                  12                   1                  60
                  61                  12                  16                   1                  61
                  62                  16                  12                   1                  62
                  63                  14                  17                   1                  63
                  64                  17                  14                   1                  64
                  65                  14                  21                   1                  65
                  66                  21                  14                   1                  66
                  67                  15                  19                   1                  67
                  68                  19                  15                   1                  68
                  69                  15                  25                   1                  69
                  70                  25                  15                   1                  70
                  71                  17                  25                   1                  71
                  72                  25                  17                   1                  72
                  73                  18                  21                   1                  73
                  74                  21                  18                   1                  74
                  75                  18                  23                   1                  75
                  76                  23                  18                   1                  76
                  77                  19                  23                   1                  77
                  78                  23                  19                   1                  78
                  79                  20                  22                   1                  79
                  80                  22                  20                   1                  80
                  81                  -2                  24                   2                   1
                  82                  24                  -2                   2                   2
                  83                  -3                  24                   2                   3
                  84                  24                  -3                   2                   4
                  85                  -4                  19                   2                   5
                  86                  19                  -4                   2                   6
                  87                  -5                  19                   2                   7
                  88                  19                  -5                   2                   8
                  89                  -1                  12                   2                   9
                  90                  12                  -1                   2                  10
