BATHYMETRY 1
NUM_LAYES
        32
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1            -13.5000            -14.0000         13461889.00          4290940.50             8000.00             8000.00
         2            -13.0000            -13.5000         22139948.50         13461889.00             8000.00             8000.00
         3            -12.5000            -13.0000         31250704.00         22139948.50             8000.00             8000.00
         4            -12.0000            -12.5000         31250704.00         31250704.00             8000.00             8000.00
         5            -11.5000            -12.0000         31250704.00         31250704.00             8000.00             8000.00
         6            -11.0000            -11.5000         31250704.00         31250704.00             8000.00             8000.00
         7            -10.5000            -11.0000         31250704.00         31250704.00             8000.00             8000.00
         8            -10.0000            -10.5000         31250704.00         31250704.00             8000.00             8000.00
         9             -9.5000            -10.0000         31250704.00         31250704.00             8000.00             8000.00
        10             -9.0000             -9.5000         31250704.00         31250704.00             8000.00             8000.00
        11             -8.5000             -9.0000         31250704.00         31250704.00             8000.00             8000.00
        12             -8.0000             -8.5000         31250704.00         31250704.00             8000.00             8000.00
        13             -7.5000             -8.0000         31250704.00         31250704.00             8000.00             8000.00
        14             -7.0000             -7.5000         31250704.00         31250704.00             8000.00             8000.00
        15             -6.5000             -7.0000         31250704.00         31250704.00             8000.00             8000.00
        16             -6.0000             -6.5000         31250704.00         31250704.00             8000.00             8000.00
        17             -5.5000             -6.0000         31250704.00         31250704.00             8000.00             8000.00
        18             -5.0000             -5.5000         31250704.00         31250704.00             8000.00             8000.00
        19             -4.5000             -5.0000         31250704.00         31250704.00             8000.00             8000.00
        20             -4.0000             -4.5000         31250704.00         31250704.00             8000.00             8000.00
        21             -3.5000             -4.0000         31250704.00         31250704.00             8000.00             8000.00
        22             -3.0000             -3.5000         31250704.00         31250704.00             8000.00             8000.00
        23             -2.5000             -3.0000         31250704.00         31250704.00             8000.00             8000.00
        24             -2.0000             -2.5000         31250704.00         31250704.00             8000.00             8000.00
        25             -1.5000             -2.0000         31250704.00         31250704.00             8000.00             8000.00
        26             -1.0000             -1.5000         31250704.00         31250704.00             8000.00             8000.00
        27             -0.5000             -1.0000         31250704.00         31250704.00             8000.00             8000.00
        28              0.0000             -0.5000         31250704.00         31250704.00             8000.00             8000.00
        29              0.5000              0.0000         31250704.00         31250704.00             8000.00             8000.00
        30              1.0000              0.5000         31250704.00         31250704.00             8000.00             8000.00
        31              1.5000              1.0000         31250704.00         31250704.00             8000.00             8000.00
        32              2.0000              1.5000         31250704.00         31250704.00             8000.00             8000.00
