BATHYMETRY 19
NUM_LAYES
        12
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -3.5000             -4.0000         20314444.00          5016338.50             8000.00             8000.00
         2             -3.0000             -3.5000         65376796.80         20314444.00             8000.00             8000.00
         3             -2.5000             -3.0000        125343946.10         65376796.80             8000.00             8000.00
         4             -2.0000             -2.5000        148625192.92        125343946.10             8000.00             8000.00
         5             -1.5000             -2.0000        168274096.17        148625192.92             8000.00             8000.00
         6             -1.0000             -1.5000        173560777.81        168274096.17             8000.00             8000.00
         7             -0.5000             -1.0000        173560777.81        173560777.81             8000.00             8000.00
         8              0.0000             -0.5000        173560777.81        173560777.81             8000.00             8000.00
         9              0.5000              0.0000        173560777.81        173560777.81             8000.00             8000.00
        10              1.0000              0.5000        173560777.81        173560777.81             8000.00             8000.00
        11              1.5000              1.0000        173560777.81        173560777.81             8000.00             8000.00
        12              2.0000              1.5000        173560777.81        173560777.81             8000.00             8000.00
