#     PELAGIC BOX NO      PRODUCE_PEL_STATE_VAR_OUTPUTS     PRODUCE_PEL_PROCESS_RATE_OUTPUTS     PRODUCE_PEL_MASS_BALANCE_OUTPUTS
                   1                                  0                                    0                                    0
                   2                                  0                                    0                                    0
                   3                                  0                                    0                                    0
                   4                                  0                                    0                                    0
                   5                                  1                                    0                                    0
                   6                                  1                                    0                                    0
                   7                                  0                                    0                                    0
                   8                                  1                                    1                                    1 !Vidmares
                   9                                  1                                    0                                    0
                  10                                  0                                    0                                    0
                  11                                  0                                    0                                    0
                  12                                  0                                    0                                    0
                  13                                  0                                    0                                    0
                  14                                  1                                    1                                    1 !Nida
                  15                                  0                                    0                                    0
                  16                                  0                                    0                                    0
                  17                                  1                                    0                                    0
                  18                                  0                                    0                                    0
                  19                                  0                                    0                                    0
                  20                                  0                                    0                                    0
                  21                                  0                                    0                                    0
                  22                                  0                                    0                                    0
                  23                                  0                                    0                                    0
                  24                                  0                                    0                                    0
                  25                                  1                                    0                                    0
