# ************************* PRESCRIBED SEDIMENT FLUXES *************************
#         SEGMENT NO        STATE VAR NO       FORCING TS NO   FORCING TS VAR NO
                   1                   1                  15                   4
                   1                   2                  15                   4
                   1                   3                  15                   4
                   1                   4                  15                   4
                   1                   5                  15                   4
                   1                   6                  15                   4
                   1                   7                  15                   4
                   1                   8                  15                   4
                   1                   9                  15                   4
                   1                  10                  15                   4
                   1                  11                  15                   4
                   1                  12                  15                   4
                   1                  13                  15                   4
                   1                  14                  15                   4
                   1                  15                  15                   4
                   1                  16                  15                   4
                   1                  17                  15                   4
                   1                  18                  15                   4
                   1                  19                  15                   4
                   1                  20                  15                   4
                   1                  21                  15                   4
                   1                  22                  15                   4
                   1                  23                  15                   4
                   1                  24                  15                   4
                   1                  25                  15                   4
                   1                  26                  15                   4
                   1                  27                  15                   4
                   1                  28                  15                   4
                   1                  29                  15                   4
                   1                  30                  15                   4
                   1                  31                  15                   4
                   1                  32                  15                   4
                   1                  33                  15                   4
                   1                  34                  15                   4
                   1                  35                  15                   4
                   1                  36                  15                   4
                   2                   1                  15                   4
                   2                   2                  15                   4
                   2                   3                  15                   4
                   2                   4                  15                   4
                   2                   5                  15                   4
                   2                   6                  15                   4
                   2                   7                  15                   4
                   2                   8                  15                   4
                   2                   9                  15                   4
                   2                  10                  15                   4
                   2                  11                  15                   4
                   2                  12                  15                   4
                   2                  13                  15                   4
                   2                  14                  15                   4
                   2                  15                  15                   4
                   2                  16                  15                   4
                   2                  17                  15                   4
                   2                  18                  15                   4
                   2                  19                  15                   4
                   2                  20                  15                   4
                   2                  21                  15                   4
                   2                  22                  15                   4
                   2                  23                  15                   4
                   2                  24                  15                   4
                   2                  25                  15                   4
                   2                  26                  15                   4
                   2                  27                  15                   4
                   2                  28                  15                   4
                   2                  29                  15                   4
                   2                  30                  15                   4
                   2                  31                  15                   4
                   2                  32                  15                   4
                   2                  33                  15                   4
                   2                  34                  15                   4
                   2                  35                  15                   4
                   2                  36                  15                   4                   
                   3                   1                  17                   1
                   3                   2                  17                   2
