           TIME,                NH4N,                NO3N,                PO4P,                DOXY,                DIAC,                ZOOC,                ZOON,                ZOOP,                DETC,                DETN,                DETP,                 DOC,                 DON,                 DOP,          NOFIX_CYNC,                 OPA,    DISSOLVED_SILICA,  PARTICULATE_SILICA,            FIX_CYNC,                 DIC,          ALKALINITY
       1.000000,        0.0500000007,        0.5000000000,        0.0469999984,       14.0000000000,        1.7500000000,        0.0199999996,        0.0000000000,        0.0000000000,        6.5000000000,        1.0000000000,        0.0149999997,        8.0000000000,        1.5000000000,        0.0250000004,        0.0599999987,        0.0219999999,        3.0000000000,        1.5000000000,        0.0000000000,        0.0027000001,        0.0027000001
       1.041667,        0.0488718903,        0.4995703035,        0.0468865457,       14.0321761240,        1.6978818827,        0.0200008148,        0.0000323572,        0.0000033969,        6.5686056478,        1.0142663617,        0.0166301347,        7.9998153340,        1.4974802390,        0.0246728257,        0.0618510185,        0.0228430613,        2.9947692144,        1.5724910621,        0.0000000406,        0.0026979650,        0.0026999850
       1.083333,        0.0478081218,        0.4991159063,        0.0467717930,       14.0636807099,        1.6475862825,        0.0200023312,        0.0000646762,        0.0000067958,        6.6350291100,        1.0280501199,        0.0181994117,        7.9996313246,        1.4949703060,        0.0243605131,        0.0638004357,        0.0237356635,        2.9896325797,        1.6427905230,        0.0000000830,        0.0026959544,        0.0026999764
       1.125000,        0.0468077082,        0.4986386110,        0.0466561134,       14.0945012412,        1.5990241751,        0.0200045765,        0.0000969644,        0.0000101973,        6.6993476354,        1.0413684431,        0.0197106196,        7.9994477194,        1.4924699588,        0.0240618376,        0.0658534871,        0.0246808772,        2.9845931759,        1.7109748679,        0.0000001272,        0.0026939684,        0.0026999740
       1.166667,        0.0458694410,        0.4981402101,        0.0465398310,       14.1246281341,        1.5521107877,        0.0200075795,        0.0001292295,        0.0000136019,        6.7616347691,        1.0542376722,        0.0211663159,        7.9992642960,        1.4899789752,        0.0237757408,        0.0680156852,        0.0256819661,        2.9796539528,        1.7771168598,        0.0000001733,        0.0026920071,        0.0026999776
       1.208333,        0.0449918842,        0.4976224685,        0.0464232222,       14.1540550641,        1.5067655008,        0.0200113698,        0.0001614796,        0.0000170101,        6.8219605336,        1.0666733612,        0.0225688589,        7.9990808635,        1.4874971521,        0.0235012999,        0.0702928308,        0.0267423976,        2.9748177097,        1.8412857164,        0.0000002216,        0.0026900703,        0.0026999868
       1.250000,        0.0441733702,        0.4970871055,        0.0463065154,       14.1827792928,        1.4629117515,        0.0200159781,        0.0001937229,        0.0000204225,        6.8803916053,        1.0786903174,        0.0239204334,        7.9988972618,        1.4850243041,        0.0232377038,        0.0726910254,        0.0278658546,        2.9700870764,        1.9035472846,        0.0000002722,        0.0026881579,        0.0027000014
       1.291667,        0.0434119970,        0.4965357742,        0.0461898910,       14.2108019908,        1.4204769396,        0.0200214356,        0.0002259679,        0.0000238398,        6.9369914873,        1.0903026403,        0.0252230710,        7.9987133633,        1.4825602630,        0.0229842344,        0.0752166834,        0.0290562472,        2.9654644940,        1.9639642096,        0.0000003254,        0.0026862696,        0.0027000212
       1.333333,        0.0427056265,        0.4959700419,        0.0460734804,       14.2381285554,        1.3793923338,        0.0200277745,        0.0002582232,        0.0000272627,        6.9918206780,        1.1015237597,        0.0264786677,        7.9985290726,        1.4801048763,        0.0227402520,        0.0778765447,        0.0303177253,        2.9609521970,        2.0225961003,        0.0000003812,        0.0026844051,        0.0027000458
       1.375000,        0.0420518846,        0.4953913684,        0.0459573652,       14.2647689179,        1.3395929789,        0.0200350276,        0.0002904977,        0.0000306919,        7.0449368356,        1.1123664725,        0.0276889975,        7.9983443280,        1.4776580072,        0.0225051834,        0.0806776868,        0.0316546905,        2.9565521959,        2.0794996917,        0.0000004399,        0.0026825637,        0.0027000749
