station,box,region,date,depth,variable,model_index,value,units,source_file,orig_param,orig_unit
1,7,Strait,2022-02-23,0.5,BOD7,,0.98,mg O2/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,biocheminis deguonies suvartojimas per 7 paras,mg/l O2
1,7,Strait,2022-02-23,12,BOD7,,1.1,mg O2/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,biocheminis deguonies suvartojimas per 7 paras,mg/l O2
1,7,Strait,2022-02-23,0.5,CHLA,59,18.67,ug/L,Chlorofilas a_KM_2022_patikrinta_2023-03-15_1053.xls,Chlorofilas a,µg/l
1,7,Strait,2022-02-23,0.5,DIN,,3.548,mg N/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,azotas mineralinis,mg/l
1,7,Strait,2022-02-23,12,DIN,,2.575,mg N/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,azotas mineralinis,mg/l
1,7,Strait,2022-02-23,0.5,NH4,1,0.035,mg N/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,amonio azotas,mg/l N
1,7,Strait,2022-02-23,12,NH4,1,0.063,mg N/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,amonio azotas,mg/l N
1,7,Strait,2022-02-23,0.5,NO2,,0.013,mg N/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,nitritų azotas,mg/l N
1,7,Strait,2022-02-23,12,NO2,,0.012,mg N/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,nitritų azotas,mg/l N
1,7,Strait,2022-02-23,0.5,NO3,2,3.5,mg N/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,nitratų azotas,mg/l N
1,7,Strait,2022-02-23,12,NO3,2,2.5,mg N/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,nitratų azotas,mg/l N
1,7,Strait,2022-02-23,0.5,PO4,3,0.013,mg P/L,2022 Hidrochemija_KM_patikrinta_2023-03-30_1061.xls,fosfatų fosforas,mg/l P
