# Lithuanian EPA / KM monitoring station -> CL29 (29-box) model box mapping.
#
# Boxes assigned by point-in-polygon against the 29-box vector layer curonian/b29polys.gpkg
# (EPSG:3346 / LKS94), rechecked 2026-07-21. This supersedes the earlier visual read of the
# 29boxesNew_modified.tif raster: LTK14 moves from box 25 -> box 9 (the polygon puts it
# ~1.5 km inside box 9; box 25 is ~1.9 km away and not even the nearest box), and the
# previously-inferred LTK3A -> box 11 is now spatially confirmed. All other stations are
# unchanged. The join key is the bare station number (the "LTK" prefix stripped): LTK3B -> 3B,
# matching the older EPA sheets whose station column uses the bare codes.
#
# easting/northing are EPSG:3346 (metres), taken from the KM monitoring extract where the
# station appears there (these replace the approximate raster-read values, e.g. LTK1's easting
# 320397 -> 318397); LTK3DT and LTK8 (absent from that extract) keep their earlier coordinates.
# region is a coarse along-lagoon grouping (Strait / Northern / Central).
station,box,region,easting,northing
LTK1,7,Strait,318397,6179134
LTK2,7,Strait,319194,6177275
LTK3,11,Strait,319599,6173032
LTK3A,11,Strait,321359,6171614
LTK3B,11,Strait,320601,6173603
LTK3DT,11,Strait,320070,6173554
LTK4,20,Northern,320600,6166341
LTK5,17,Northern,318676,6159711
LTK6,15,Northern,319625,6151272
LTK7B,19,Northern,324503,6152970
LTK8,15,Northern,317879,6145968
LTK12,14,Central,320251,6136769
LTK10,23,Central,311238,6133996
LTK14,9,Central,316146,6129694
