day,date,temperature_C,salinity_psu,light_Wm2,fraction_of_day,air_temp_C,wind_speed_ms,elevation_m,depth_m,bg_light_ext_1m,ice_cover
0,2012-01-01,2.0481,0.5211,16.1249,0.2898,2.0481,4.0000,0.0000,1.5171,0.6000,0.0000
1,2012-01-02,1.8982,0.1364,3.0896,0.2908,1.8982,4.0000,0.0000,1.5171,0.6000,0.0000
2,2012-01-03,2.1372,0.1188,21.7949,0.2918,2.1372,4.0000,0.0000,1.5171,0.6000,0.0000
3,2012-01-04,2.3265,0.1046,22.5485,0.2930,2.3265,4.0000,0.0000,1.5171,0.6000,0.0000
4,2012-01-05,2.4127,0.1027,5.7563,0.2942,2.4127,4.0000,0.0000,1.5171,0.6000,0.0000
5,2012-01-06,2.4228,0.7996,15.3916,0.2954,2.4228,4.0000,0.0000,1.5171,0.6000,0.0000
6,2012-01-07,2.5316,2.8635,12.2970,0.2968,2.5316,4.0000,0.0000,1.5171,0.6000,0.0000
7,2012-01-08,2.1725,1.6393,14.1031,0.2982,2.1725,4.0000,0.0000,1.5171,0.6000,0.0000
8,2012-01-09,2.2879,2.8614,17.3102,0.2997,2.2879,4.0000,0.0000,1.5171,0.6000,0.0000
9,2012-01-10,1.8187,1.5279,27.6345,0.3012,1.8187,4.0000,0.0000,1.5171,0.6000,0.0000
10,2012-01-11,1.6310,0.5363,4.9811,0.3029,1.6310,4.0000,0.0000,1.5171,0.6000,0.0000
11,2012-01-12,1.9881,0.3275,3.0631,0.3045,1.9881,4.0000,0.0000,1.5171,0.6000,0.0000
12,2012-01-13,2.0451,0.4913,27.7534,0.3063,2.0451,4.0000,0.0000,1.5171,0.6000,0.0000
13,2012-01-14,2.4296,4.5776,23.4614,0.3081,2.4296,4.0000,0.0000,1.5171,0.6000,0.0000
14,2012-01-15,1.5492,5.2893,28.6989,0.3100,1.5492,4.0000,0.0000,1.5171,0.6000,0.0000
15,2012-01-16,0.3960,1.8696,28.8901,0.3119,0.3960,4.0000,0.0000,1.5171,0.6000,0.0000
16,2012-01-17,0.0033,0.5108,20.3187,0.3139,0.0033,4.0000,0.0000,1.5171,0.6000,0.0000
17,2012-01-18,0.0211,0.1988,10.0587,0.3159,0.0211,4.0000,0.0000,1.5171,0.6000,0.0000
18,2012-01-19,0.1691,0.1434,29.1398,0.3180,0.1691,4.0000,0.0000,1.5171,0.6000,0.0000
19,2012-01-20,0.2459,0.1343,9.5354,0.3202,0.2459,4.0000,0.0000,1.5171,0.6000,0.0000
20,2012-01-21,0.0753,0.1302,21.7134,0.3223,0.0753,4.0000,0.0000,1.5171,0.6000,0.0000
21,2012-01-22,0.0250,0.1211,13.7276,0.3246,0.0250,4.0000,0.0000,1.5171,0.6000,0.0000
22,2012-01-23,0.0318,0.1240,18.4630,0.3269,0.0318,4.0000,0.0000,1.5171,0.6000,0.0000
23,2012-01-24,-0.0038,0.1236,29.0664,0.3292,-0.0038,4.0000,0.0000,1.5171,0.6000,0.0000
24,2012-01-25,0.0012,0.1199,20.7218,0.3316,0.0012,4.0000,0.0000,1.5171,0.6000,0.0000
25,2012-01-26,0.0236,0.1155,29.1544,0.3340,0.0236,4.0000,0.0000,1.5171,0.6000,0.0000
26,2012-01-27,0.0793,0.1117,36.4172,0.3365,0.0793,4.0000,0.0000,1.5171,0.6000,0.0000
27,2012-01-28,0.1377,0.1095,42.1984,0.3390,0.1377,4.0000,0.0000,1.5171,0.6000,0.0000
28,2012-01-29,0.2067,0.1082,51.7074,0.3415,0.2067,4.0000,0.0000,1.5171,0.6000,0.0000
29,2012-01-30,0.2838,0.1076,51.6566,0.3441,0.2838,4.0000,0.0000,1.5171,0.6000,0.0000
30,2012-01-31,0.3571,0.1073,47.7718,0.3467,0.3571,4.0000,0.0000,1.5171,0.6000,0.0000
31,2012-02-01,0.4260,0.1071,53.1455,0.3494,0.4260,4.0000,0.0000,1.5171,0.6000,0.0000
