day,b1_NH4_N,b1_NO3_N,b1_PO4_P,b1_DISS_OXYGEN,b1_DIA_C,b1_ZOO_C,b1_ZOO_N,b1_ZOO_P,b1_DET_PART_ORG_C,b1_DET_PART_ORG_N,b1_DET_PART_ORG_P,b1_DISS_ORG_C,b1_DISS_ORG_N,b1_DISS_ORG_P,b1_CYN_C,b1_OPA_C,b1_DISS_Si,b1_PART_Si,b1_FIX_CYN_C,b1_INORG_C,b1_TOT_ALK,b1_FE_II,b1_FE_III,b1_MN_II,b1_MN_IV,b1_CA,b1_MG,b1_S_PLUS_6,b1_S_MINUS_2,b1_CH4_C,b1_NOST_VEG_HET_C,b1_AKI_C,b2_NH4_N,b2_NO3_N,b2_PO4_P,b2_DISS_OXYGEN,b2_DIA_C,b2_ZOO_C,b2_ZOO_N,b2_ZOO_P,b2_DET_PART_ORG_C,b2_DET_PART_ORG_N,b2_DET_PART_ORG_P,b2_DISS_ORG_C,b2_DISS_ORG_N,b2_DISS_ORG_P,b2_CYN_C,b2_OPA_C,b2_DISS_Si,b2_PART_Si,b2_FIX_CYN_C,b2_INORG_C,b2_TOT_ALK,b2_FE_II,b2_FE_III,b2_MN_II,b2_MN_IV,b2_CA,b2_MG,b2_S_PLUS_6,b2_S_MINUS_2,b2_CH4_C,b2_NOST_VEG_HET_C,b2_AKI_C,b3_NH4_N,b3_NO3_N,b3_PO4_P,b3_DISS_OXYGEN,b3_DIA_C,b3_ZOO_C,b3_ZOO_N,b3_ZOO_P,b3_DET_PART_ORG_C,b3_DET_PART_ORG_N,b3_DET_PART_ORG_P,b3_DISS_ORG_C,b3_DISS_ORG_N,b3_DISS_ORG_P,b3_CYN_C,b3_OPA_C,b3_DISS_Si,b3_PART_Si,b3_FIX_CYN_C,b3_INORG_C,b3_TOT_ALK,b3_FE_II,b3_FE_III,b3_MN_II,b3_MN_IV,b3_CA,b3_MG,b3_S_PLUS_6,b3_S_MINUS_2,b3_CH4_C,b3_NOST_VEG_HET_C,b3_AKI_C,b4_NH4_N,b4_NO3_N,b4_PO4_P,b4_DISS_OXYGEN,b4_DIA_C,b4_ZOO_C,b4_ZOO_N,b4_ZOO_P,b4_DET_PART_ORG_C,b4_DET_PART_ORG_N,b4_DET_PART_ORG_P,b4_DISS_ORG_C,b4_DISS_ORG_N,b4_DISS_ORG_P,b4_CYN_C,b4_OPA_C,b4_DISS_Si,b4_PART_Si,b4_FIX_CYN_C,b4_INORG_C,b4_TOT_ALK,b4_FE_II,b4_FE_III,b4_MN_II,b4_MN_IV,b4_CA,b4_MG,b4_S_PLUS_6,b4_S_MINUS_2,b4_CH4_C,b4_NOST_VEG_HET_C,b4_AKI_C,b5_NH4_N,b5_NO3_N,b5_PO4_P,b5_DISS_OXYGEN,b5_DIA_C,b5_ZOO_C,b5_ZOO_N,b5_ZOO_P,b5_DET_PART_ORG_C,b5_DET_PART_ORG_N,b5_DET_PART_ORG_P,b5_DISS_ORG_C,b5_DISS_ORG_N,b5_DISS_ORG_P,b5_CYN_C,b5_OPA_C,b5_DISS_Si,b5_PART_Si,b5_FIX_CYN_C,b5_INORG_C,b5_TOT_ALK,b5_FE_II,b5_FE_III,b5_MN_II,b5_MN_IV,b5_CA,b5_MG,b5_S_PLUS_6,b5_S_MINUS_2,b5_CH4_C,b5_NOST_VEG_HET_C,b5_AKI_C
0,0.034500,0.217000,0.022700,11.600000,0.000000,0.040000,0.010000,0.002000,1.110000,0.176000,0.003000,5.030000,0.607000,0.019100,0.020000,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100
1,0.034500,0.217000,0.022700,11.600000,0.000000,0.040000,0.010000,0.002000,1.110000,0.176000,0.003000,5.030000,0.607000,0.019100,0.020000,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100
2,0.034500,0.217000,0.022700,11.600000,0.000000,0.040000,0.010000,0.002000,1.110000,0.176000,0.003000,5.030000,0.607000,0.019100,0.020000,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100
3,0.034500,0.217000,0.022700,11.600000,0.000000,0.040000,0.010000,0.002000,1.110000,0.176000,0.003000,5.030000,0.607000,0.019100,0.020000,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100
4,0.034500,0.217000,0.022700,11.600000,0.000000,0.040000,0.010000,0.002000,1.110000,0.176000,0.003000,5.030000,0.607000,0.019100,0.020000,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100
5,0.034500,0.217000,0.022700,11.600000,0.000000,0.040000,0.010000,0.002000,1.110000,0.176000,0.003000,5.030000,0.607000,0.019100,0.020000,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100
6,0.034500,0.217000,0.022700,11.600000,0.000000,0.040000,0.010000,0.002000,1.110000,0.176000,0.003000,5.030000,0.607000,0.019100,0.020000,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100
7,0.034500,0.217000,0.022700,11.600000,0.000000,0.040000,0.010000,0.002000,1.110000,0.176000,0.003000,5.030000,0.607000,0.019100,0.020000,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100
8,0.034500,0.217000,0.022700,11.600000,0.000000,0.040000,0.010000,0.002000,1.110000,0.176000,0.003000,5.030000,0.607000,0.019100,0.020000,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100
9,0.034500,0.217000,0.022700,11.600000,0.000000,0.040000,0.010000,0.002000,1.110000,0.176000,0.003000,5.030000,0.607000,0.019100,0.020000,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100,0.041627,1.167040,0.043917,13.200000,0.000000,0.040000,0.010000,0.002000,2.247738,0.412678,0.025877,10.340000,3.973947,0.016533,0.123310,0.020000,3.000000,1.500000,0.000100,0.002700,0.002700,0.230000,0.050000,0.100000,0.100000,70.000000,15.000000,1.350000,0.000000,0.000000,0.000000,0.000100
