box,depth_m,area_m2
1,13.3894,31250704.0
2,2.7569,187664800.5
3,2.1228,137921031.2
4,11.2351,75194402.9
5,2.4892,106733709.2
6,3.4165,113545019.3
7,10.8267,3967444.8
8,3.1400,76803014.0
9,1.9496,89578403.7
10,11.9627,40773528.2
11,8.0604,5564162.2
12,20.6302,459217176.0
13,13.4008,66396636.2
14,2.0375,49289006.8
15,2.2223,36746828.8
16,9.4115,37084151.1
17,2.0469,21879311.6
18,1.3105,28428956.5
19,1.5171,49931408.5
20,2.5528,10616803.9
21,2.9065,28742886.2
22,1.9783,12828980.8
23,3.4366,34594771.2
24,2.2885,8539137.4
25,3.0342,50559106.5
26,1.6456,53281551.4
27,2.9559,81589045.6
28,3.8853,178661351.1
29,2.5232,223812574.6
