day,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100
0,33211749.6000,42642853.2000,51318194.4000,24540476.4000,8965790.3412,23690788.9200,62419251.6000,2763042.5664,87640812.0000,254681.9928,55696110.4800,60362531.6760,11630818.5084,16476334.8120,93346485.4800,646405.2000,90444656.0200,25588015.8480,1840450.2516,63143433.0000,67992001.2000,11122528.1407,17727834.7260,5386519.3320,51962720.4000,14075685.7200,5008966.2720,1112364.5400,39375016.4160,14580110.4768,27831619.0800,435094.9200,47174537.6064,3745576.0800,25910178.0084,7036365.7440,28442977.9200,1780947.1080,105721735.6800,3152699.0280,992430.9137,84183170.4000,0.0000,52975822.6800,93221971.2000,4086689.4000,5399555.7600,23598147.9600,89520588.9360,3708261.0000,105162253.2000,5110525.1880,24367973.7600,34862941.8000,79116843.6000,3389371.1316,84457919.1600,4232873.1960,21613234.5360,1875365.3520,99739922.4000,4544944.4880,92432345.6124,3953967.1200,46618449.1200,54679747.3200,92082603.6000,4784325.9840,184935182.4000,8656037.2440,185485138.9200,8754428.5200,0.0000,755012988.0000,444396780.0000,46631496.6360,543479400.0000,0.0000,442450260.0000,0.0000,528655428.0000,81611277.4800,10384167.8880,407630088.0000,6752216.8080,353111112.0000,27262109.9160,367934652.0000,111878125.2000,6891796.1052,4961363040.0000,5234781600.0000,41575136.4000,0.0000,10986663.6000,0.0000,10463119.2000,0.0000,2274940.0800,0.0000
1,28294070.4000,74456161.2000,68902999.2000,17119316.5200,13920130.6848,46189412.7768,85946500.8000,114086.5920,98507077.2000,1040696.9280,46032987.6000,144919785.6000,30106473.8400,5189718.9240,125100937.8000,1416423.9240,90363448.8000,66684503.9556,4272202.6488,122774958.0000,60060561.1200,26322908.4000,13891090.5720,19855780.5960,49934746.2960,42506721.3600,1689840.7200,4064675.9220,38159787.4056,53401185.9720,23835812.2920,949904.0640,37561673.5200,5855265.2520,19255272.8400,17249868.2092,21637274.9868,6311500.0380,76693268.1600,24492409.5888,2052084.3336,79621099.2000,0.0000,51719691.9600,70260053.3640,11587943.3400,8274371.7240,17432458.9200,62845146.0000,15651747.3600,74212629.3713,8396983.0800,21894267.2400,24986568.2040,55751396.7960,6140326.3200,59665162.5036,4591677.5532,15518227.9320,1918559.8368,70744960.5840,3776484.4740,65619426.2868,3336356.8800,33670090.0800,39659429.5200,65757258.0000,3280932.7200,131206672.8000,6179009.3640,131022174.9960,5906201.8320,0.0000,950772960.0000,756133200.0000,2141900.6400,322007450.4000,378106.0272,127769698.8000,96386905.8000,285329412.0000,252822243.6000,106846995.6000,356462712.0000,0.0000,702428760.0000,0.0000,703475316.0000,291027924.0000,346966.3145,6534686520.0000,6657989040.0000,40153694.4000,0.0000,11015856.0000,0.0000,9075319.2000,0.0000,2569892.4000,0.0000
2,80501090.4000,11854838.8800,20307470.6880,56181174.4800,24938961.8040,18681724.4400,25383174.8400,40953633.2640,36557657.1662,22182374.8800,147097713.6000,34430826.9600,5645831.9400,26979517.0188,44051130.0144,42638511.1205,171763113.6000,34367538.9600,19876353.4800,39375160.9200,98215164.0000,2895556.1400,41779879.2000,48488.2920,30700304.3736,45846797.8680,3430605.8520,4709375.7088,33533189.3952,38626307.3916,31643559.3600,67631.4875,55345811.7600,10700.5320,42056551.8000,5093133.8760,29195697.9600,159303.7440,83031754.1760,9017275.5396,5158296.6840,79566505.2000,0.0000,46339266.6000,93416712.1200,1179324.3852,7245737.8560,18066054.9600,67201196.4000,9692659.5120,81019823.5465,2707616.7432,32968820.8800,24961350.7944,58686797.7886,1938823.9186,57528344.9552,5000383.1808,22401863.6400,1294525.3752,73384232.0400,1934502.4080,62511682.3200,3980827.9836,31653123.1200,39955229.6400,63760450.3200,3466141.2000,125649149.7600,7667175.2400,125776305.7200,8288689.6800,0.0000,982365876.0000,738268236.0000,3877963.7040,359222760.0000,0.0000,90489564.0000,12387038.0400,331565832.0000,259398612.0000,69874286.4000,397009044.0000,0.0000,660669840.0000,0.0000,662697252.0000,277287768.0000,11504.7036,5137235280.0000,5183339040.0000,35815600.8000,0.0000,11067890.4000,0.0000,9335592.0000,0.0000,3417967.4400,0.0000
3,147128857.2000,62045080.9092,61684817.4000,105116342.4000,28212338.3040,52856629.3800,71162362.8000,70022537.4240,70929417.9600,47388697.8120,309248827.2000,145300767.4800,4135191.6960,85196370.9600,59327791.8228,110684612.9880,340916400.0000,119371383.7200,41733023.4000,85848886.8000,211952188.8000,18266735.1240,49307682.3372,11840207.8320,48509834.4590,138274893.3600,10906831.9800,16905498.4800,25907799.8700,140302464.6600,72397198.8000,0.0000,111572402.4000,203348.6532,91433188.8000,11064638.9664,47093853.6000,1865930.0400,85550514.7680,43620573.9600,26201895.0948,144207072.0000,6841.9764,45018769.3200,155022501.6000,2375343.7200,22683190.6800,15487160.7600,70268618.1600,17986568.3640,126697489.2000,0.0000,61900279.2000,31575841.2000,86058277.2000,256471.4412,89147242.8000,0.0000,41063277.6000,749769.7118,128505106.8000,0.0000,107908732.8000,0.0000,48133231.5600,65731003.2000,112120016.4000,0.0000,220382647.2000,0.0000,220567561.2000,0.0000,0.0000,1364172480.0000,1679150160.0000,0.0000,65411136.8280,157648971.6000,16912328.4000,641934042.0552,570940668.0000,1193986476.0000,337356864.0000,490513536.0000,0.0000,1209348720.0000,0.0000,1209076560.0000,535042404.0000,921142.4400,11333422080.0000,11579170320.0000,33752372.4000,0.0000,11700918.0000,0.0000,10937073.6000,0.0000,4428549.7200,0.0000
4,74168056.8000,99153730.8000,73031556.2400,85205026.8000,9416714.6160,79485853.6800,92818180.8000,47508090.3004,92706825.6000,27886914.6840,156244215.6000,210735565.2000,10254312.7200,59435051.9400,83274177.1320,62404113.9600,194571068.4000,144106491.6000,22566523.6800,128071130.4000,117393913.4400,48335186.4480,16411455.0720,33319338.9696,48882397.3200,128250835.2000,7854231.3120,16142848.2000,18180329.4000,148731933.6000,54201882.6000,803736.0000,64280154.3120,14052761.2800,43615446.8400,30990098.5200,25625307.6000,15495676.2000,52990912.4400,57339745.9200,8819372.3184,125702233.2000,0.0000,52913972.5200,88087519.6020,34641656.2800,20022692.4000,10399320.3600,52148995.2000,38971662.6960,80410003.2000,42397507.4400,46817262.0000,27362722.3200,65601802.8000,23760343.0800,64035759.6000,31307048.7120,18233874.9720,10505061.3096,84299891.7600,29852371.5084,73511276.4000,28100119.6800,47686444.2000,59537448.0000,74449072.8000,30519192.5640,147476271.6000,58082963.7600,147001082.4000,57665838.9600,0.0000,1716353280.0000,1553483160.0000,0.0000,250837639.2000,3198310.4340,2543268.9600,368219408.4000,287600929.2000,655338816.0000,222213747.6000,652056984.0000,0.0000,1292133600.0000,0.0000,1294827480.0000,619713792.0000,8234071.5600,11185956000.0000,11224476000.0000,38827159.2000,0.0000,12113542.8000,0.0000,12219148.8000,0.0000,5187230.2800,0.0000
5,7449262.8840,95648425.9200,50112007.2000,19897446.5219,4870937.8800,101881897.2000,77639612.4000,4447847.8800,60140188.8000,10387418.0760,9860034.5384,230378029.2000,10384159.3927,23597386.5600,33165826.4700,28561072.8240,8292267.8640,206146468.8000,19527788.1600,71887982.7600,1603342.7892,156273152.4000,1032949.1239,62752755.6000,13046133.2040,83622150.0000,2596514.0400,9248536.2600,0.0000,133537939.2000,1734140.8228,17339643.6840,0.0000,82335884.4000,3706652.9005,90507938.4000,0.0000,54418950.0000,129920.7240,149969278.8000,4222566.8460,32338271.5200,0.0000,57228768.0000,0.0000,150161119.2000,26975236.3200,19406376.0000,0.0000,152645317.2000,0.0000,191514312.0000,63060458.4000,27779382.0000,0.0000,125964111.6000,0.0000,156107628.0000,3416189.4000,41540824.8000,0.0000,167765220.0000,0.0000,156693744.0000,78548461.2000,78972627.6000,0.0000,169426404.0000,0.0000,326585448.0000,0.0000,326885904.0000,7674355.0800,999001728.0000,482887980.0000,110609402.0400,287184600.0000,0.0000,7961805.0000,124332724.8000,220886226.0000,339821352.0000,7128092.3220,529899840.0000,32012781.0480,506150704.8000,57035633.0400,533698164.0000,422624628.0000,21161491.2000,6669672120.0000,6292831320.0000,47108084.4000,0.0000,12342999.6000,0.0000,13383381.6000,0.0000,5803358.4000,0.0000
6,79370416.8000,26680157.7480,27764650.8000,78247119.6000,11433772.4040,55131091.2000,35944585.2000,36801056.8800,40538655.7200,14779570.3200,163651269.6000,66590550.0000,0.0000,85451929.2000,10608604.4880,66544715.0520,146455168.3200,64476491.7600,54593514.0000,39110397.4800,79646106.0960,12586916.1960,17244184.3200,3320250.1920,24482536.3548,63614279.5200,7406285.4000,4010077.5120,8677568.8800,65679141.7800,29951402.7600,1358169.8400,50990079.6000,3745430.2440,30695640.4116,8340931.4544,21275098.0718,1626493.7257,45481160.8800,5059077.9120,4372952.0040,99989132.4000,0.0000,67403757.6000,80662534.0200,5369060.8080,4694630.9400,14182649.6400,40228320.6000,11001329.8805,71339417.2800,13327866.0000,34274282.4000,19019626.8876,50204831.3280,8451791.0640,53338720.3920,15857609.0400,22337618.0400,3397099.4280,72949485.9600,14407452.8280,63173408.0400,15947760.1320,36277192.4400,46646967.6000,64539756.0000,17188414.1640,128281449.6000,33771556.0440,128782108.0440,34290059.0400,6173313.4800,763577136.0000,509953644.0000,116895383.5320,461006100.0000,0.0000,340430144.4000,1741870.8000,732247956.0000,392487292.8000,60195394.0800,413128944.0000,32699095.2000,434753204.4000,60566281.9200,461696508.0000,140839052.4000,17732876.7600,5446986480.0000,5561391600.0000,54245786.4000,0.0000,13316551.2000,0.0000,14429422.8000,0.0000,5563991.5200,0.0000
7,23376006.0000,59264769.6000,43902979.2000,30426796.8000,127284.8400,56623532.4000,53335616.4000,2923230.9960,57389338.8000,3206986.6860,35826019.2000,133432477.2000,2105146.0080,13289807.1600,41814399.6000,8849799.3600,52096831.2000,85836754.8000,2721523.2480,75704230.8000,20944039.8960,42599213.4240,1410998.7600,18713516.7600,16823604.6000,63325753.2000,526654.5840,7426522.8000,5290375.6800,79450578.0000,12247952.7600,788941.9800,9344048.2740,11206184.9400,6052228.9200,34685789.6880,2946504.8520,12278955.9600,16257502.1520,32122411.2000,0.0000,80194082.4000,0.0000,71485426.8000,12642933.8160,26576247.9600,8086376.8800,6619181.7600,8702932.2912,25008716.8800,11168515.0944,37841041.5912,18870861.6000,7310729.3400,11358686.2320,17328772.5512,9452147.4000,28585218.6360,2380802.1336,10367176.3200,13248948.7080,27559499.4000,11197073.5920,26491624.5600,17799711.4800,21922027.9200,11418291.1080,30120404.4000,22497087.2400,56796296.4000,22738799.8800,57289982.4000,0.0000,1135087920.0000,765034632.0000,256814.6040,330260076.0000,0.0000,116283745.8000,36190134.7200,545488020.0000,468607284.0000,38030497.2000,444329748.0000,0.0000,735228900.0000,0.0000,738467712.0000,263184800.4000,15442641.5040,6996134520.0000,6902378640.0000,58368373.2000,0.0000,13532230.8000,0.0000,13684881.6000,0.0000,4788742.6800,0.0000
8,6931382.5080,66698742.2400,56143004.4000,15332656.6800,13635200.5560,57486556.8000,72671536.8000,4488340.5936,77308902.0000,4897657.5120,21781642.3200,109650873.8293,1946540.5200,32972948.6400,37675346.4000,5881096.2600,14087217.2904,115242236.2800,30077925.7680,26206331.4000,6830396.5680,100498118.4000,9497281.3200,22988854.1664,47496751.2000,18887027.1840,11258696.0160,1770432.4742,31347086.6160,41084229.9600,9274324.3200,1406932.0236,5860508.0400,42416163.3600,3964243.4640,54200949.4800,8181248.7600,19257558.4800,50375313.7200,32511414.9600,958973.1588,71780943.6000,0.0000,67427427.6000,24868169.4240,50125791.9600,3903688.9800,28305946.8000,26122153.6796,36370820.0880,30209757.4800,54740402.4240,20265237.7625,23130680.4000,20126210.4000,36474315.8400,23318709.3360,43345362.6000,7668814.1980,12994010.6040,26542108.8720,49493320.2000,25082958.6000,44079828.4800,34930657.4400,35820024.4800,25095140.3520,48838848.4800,50576527.0800,92770315.2000,51062080.3200,92740269.6000,3372376.7880,778605696.0000,417028248.0000,83984126.4000,411589224.0000,0.0000,186908038.5600,3618676.4760,279919440.0000,89602851.6000,1752346.8000,473194404.0000,26775133.2108,317784106.8000,66314524.9320,350763624.0000,233555976.0000,0.0000,5145354000.0000,5224452840.0000,54738183.6000,0.0000,13242607.2000,0.0000,12194632.8000,0.0000,4593448.4400,0.0000
9,36070354.8000,8994252.0960,13396057.9200,19070978.4000,15205858.2000,20487074.7600,24509912.4000,6579856.8000,48920014.8000,800439.4188,82552604.4000,2875092.5153,0.0000,41650027.2000,21739364.6400,5568184.1754,60118779.6000,264154.1112,37865764.8000,8442097.2000,51889539.6000,1074729.6504,15035146.9200,68927.4720,52495927.2000,122915.8368,19738792.8000,0.0000,54307436.4000,0.0000,5387559.4800,5466141.4680,45127911.6000,0.0000,30834630.0000,2994885.7200,35105054.4000,0.0000,114661098.0000,0.0000,790355.0209,65053976.4000,0.0000,60850130.4000,104439456.0000,0.0000,5407440.8400,27877878.0000,94956271.2000,0.0000,120587688.0000,0.0000,24242036.4000,38658722.4000,82644591.6000,0.0000,95172307.2000,0.0000,26432258.4000,288056.5956,109634112.0000,0.0000,102593628.0000,0.0000,50662681.2000,57900261.6000,102601656.0000,0.0000,205176096.0000,0.0000,205134048.0000,0.0000,13585269.6000,535991904.0000,372461688.0000,184179096.0000,538273440.0000,0.0000,459856296.0000,0.0000,627419448.0000,168793721.6400,10083607.3800,604875636.0000,91370998.0800,19702574.3880,167060376.0000,95721058.8000,99832064.4000,22139080.2000,4614321240.0000,4807265400.0000,48067290.0000,0.0000,12154755.6000,0.0000,12128616.0000,0.0000,4450150.8000,0.0000
