day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
0,14.99525,17.49525,17.49604,15.46342,17.11596,16.66483,15.41217,16.39258,16.64425,14.86337,15.56450,15.05092,15.21971,16.27704,15.95354,15.70079,15.79221,15.92913,16.12492,15.67250,16.08717,15.73946,16.20396,16.90808,16.41954,16.66654,16.78854,16.99621,17.68567
1,3.38913,3.54312,3.15592,3.37667,3.20475,3.60429,3.23450,3.56229,3.20350,3.40604,3.19038,3.56325,3.36562,3.15954,3.24375,3.43758,3.20296,3.09304,3.08963,3.19613,3.33225,3.14250,3.45125,2.85675,3.21938,3.03192,3.28667,3.71158,4.11579
2,20.82367,22.22587,21.43517,21.88067,21.86104,22.72354,21.16050,22.79363,22.20979,20.43829,21.28350,21.50308,21.33437,22.01521,22.05213,22.33621,21.81962,21.62642,21.79488,21.53933,22.30763,21.44221,22.60408,21.56733,22.21017,21.90242,22.19508,22.76071,23.28821
3,19.80333,26.97554,26.50792,22.00533,25.86100,25.73325,20.58100,25.14183,24.58858,19.12142,20.93137,21.18317,20.80175,23.34108,22.89563,23.16229,22.15500,21.90167,22.54846,21.51333,23.69312,21.37925,24.47321,23.45175,24.04013,23.81846,25.34183,26.39225,27.25271
4,5.52792,6.19088,6.23196,5.56942,6.14683,6.03987,5.53850,5.97354,6.02525,5.59204,5.57717,5.58683,5.50483,5.84958,5.72392,5.66833,5.64429,5.67396,5.75625,5.60875,5.81029,5.62300,5.89129,6.06842,5.93392,5.99971,6.06238,6.11658,6.23837
5,17.04221,17.21483,16.26958,16.41263,15.85258,16.51533,16.41425,16.18396,15.34046,17.17325,16.16671,17.10629,16.75233,15.41029,15.75679,16.25133,15.83092,15.56804,15.39158,16.00596,15.81087,15.87983,15.94000,14.58271,15.41617,14.96950,15.76688,17.02838,18.34017
6,11.70546,15.65725,15.62542,11.88971,15.05158,14.57908,11.19954,14.13279,14.04296,12.27758,11.34900,12.37196,11.39258,12.95825,12.47429,12.56842,11.93321,11.80925,12.29700,11.62512,13.09546,11.55454,13.66042,13.51046,13.53488,13.56283,14.54200,15.04242,15.56946
7,12.79696,16.48033,16.15554,14.11896,15.85275,15.92625,13.18921,15.68925,15.27142,12.27188,13.32596,13.69742,13.46371,14.58696,14.44188,14.75579,14.01492,13.75667,14.10312,13.65362,14.92538,13.51833,15.38071,14.33350,15.00504,14.74500,15.67892,16.17938,16.44442
8,18.92592,15.34412,14.73013,17.78900,15.06179,15.68054,18.74167,15.89154,15.83450,19.03862,18.50187,17.92863,18.55575,16.74667,17.14533,17.04733,17.66075,17.79900,17.31025,18.10183,16.62679,18.18296,16.18037,16.25100,16.25946,16.22579,15.47237,15.61346,16.34800
9,23.99563,32.61579,32.05208,26.35517,31.24492,30.86350,25.11946,30.11921,29.68162,23.51767,25.64758,25.08867,24.96042,28.37787,27.73650,27.65733,26.96692,26.94104,27.63454,26.27521,28.55050,26.26646,29.37671,28.55750,29.06637,28.94475,30.58650,31.68125,32.61383
10,5.06233,5.29229,5.09654,5.13379,5.00667,5.15900,5.16271,5.09162,4.92283,4.88812,5.12471,5.10133,5.18925,4.96242,5.02658,5.09817,5.05346,5.02400,4.98108,5.09067,5.02058,5.07779,5.03796,4.81300,4.94663,4.86946,4.99617,5.27150,5.57208
11,2.53462,3.84217,3.88063,2.87096,3.72533,3.57408,2.66329,3.46908,3.48671,2.45433,2.73208,2.76029,2.67754,3.21937,3.08033,3.07063,2.93825,2.92529,3.06308,2.83000,3.22592,2.82062,3.35692,3.40567,3.35675,3.39154,3.59333,3.68096,3.80200
12,25.30900,28.55108,28.95346,26.97158,29.10613,28.92396,25.96758,28.97408,29.06317,24.92096,26.30854,26.28671,26.01100,28.27092,27.82896,27.80600,27.30483,27.23650,27.75342,26.78304,28.31675,26.73858,28.74863,28.78646,28.72642,28.80375,29.07062,28.77733,28.18650
13,26.50625,22.68833,21.36042,24.72563,21.63921,22.91975,25.70804,23.01083,22.44588,26.69692,25.22633,25.70008,25.86146,23.12663,23.59988,23.90938,24.05050,23.96888,23.46138,24.66487,23.28775,24.63629,23.07254,22.49404,22.82192,22.56537,22.13646,23.20725,25.20871
14,32.17204,25.72575,24.55267,29.88133,24.96762,25.93963,31.68525,26.31963,26.49979,32.10175,31.09563,30.38221,31.55175,27.87992,28.49075,28.42554,29.35750,29.51538,28.69887,30.26725,27.65654,30.35938,26.87137,27.50150,27.14579,27.24058,25.66483,25.96975,28.07412
15,27.59092,31.97354,32.44058,27.86658,31.39642,30.05304,27.86950,29.57846,30.35329,27.62958,28.03725,27.35917,27.63858,29.37392,28.67425,28.24792,28.28679,28.46367,28.89013,28.15367,29.07763,28.23738,29.34667,30.55200,29.80096,30.29233,30.66487,30.58454,31.39092
16,22.89112,23.03608,22.27500,21.30996,21.43946,21.62250,21.71438,21.20629,20.84500,23.39675,21.32654,22.49325,22.07675,20.54438,20.61608,20.98888,20.62463,20.41212,20.31867,20.98912,20.79225,20.88333,20.95554,20.45367,20.71629,20.56400,21.16112,22.32346,24.28225
17,11.16754,11.49642,11.17225,10.39508,10.70592,10.72000,10.70054,10.50471,10.44162,11.35921,10.51804,10.93108,10.80921,10.20771,10.14008,10.24029,10.12196,10.07262,10.05871,10.32746,10.25421,10.30404,10.35550,10.39792,10.32733,10.34904,10.54283,11.10688,12.31071
18,30.46046,27.97137,27.40350,29.91787,27.87150,28.78687,29.95200,29.12371,28.80946,30.58729,29.76042,30.42708,30.20221,29.09154,29.37379,29.70296,29.48592,29.29850,29.13979,29.62942,29.31188,29.53883,29.25967,28.60792,29.02992,28.80433,28.41996,28.58817,29.05292
19,12.18692,12.67163,10.62133,10.72067,10.24263,11.70954,10.95446,11.17417,9.76788,12.92896,10.62492,12.25075,11.28371,9.67813,9.97092,10.58937,10.00054,9.73396,9.53538,10.32500,10.19196,10.21167,10.58279,8.83617,9.80512,9.21221,10.26675,12.70146,15.76417
20,23.44912,19.68921,19.30167,22.35317,19.59462,20.19696,23.28721,20.45117,20.58137,23.38129,22.98879,22.81429,23.19683,21.29850,21.59658,21.59833,22.05625,22.13696,21.71338,22.54417,21.13242,22.59917,20.69942,21.40392,20.91475,21.06492,19.99450,20.15063,21.21558
