link,from_box,to_box
1,29,28
2,28,29
3,29,2
4,2,29
5,2,28
6,28,2
7,2,3
8,3,2
9,3,5
10,5,3
11,28,6
12,6,28
13,28,5
14,5,28
15,5,27
16,27,5
17,6,8
18,8,6
19,6,27
20,27,6
21,8,23
22,23,8
23,8,9
24,9,8
25,27,9
26,9,27
27,9,23
28,23,9
29,9,25
30,25,9
31,9,26
32,26,9
33,23,21
34,21,23
35,23,25
36,25,23
37,25,21
38,21,25
39,25,14
40,14,25
41,25,26
42,26,25
43,26,24
44,24,26
45,21,15
46,15,21
47,21,14
48,14,21
49,14,19
50,19,14
51,15,17
52,17,15
53,15,19
54,19,15
55,19,18
56,18,19
57,17,20
58,20,17
59,17,18
60,18,17
61,18,22
62,22,18
63,20,11
64,11,20
65,20,22
66,22,20
67,22,11
68,11,22
69,11,7
70,7,11
71,7,13
72,13,7
73,13,4
74,4,13
75,13,12
76,12,13
77,13,1
78,1,13
79,1,10
80,10,1
81,10,12
82,12,10
83,4,12
84,12,4
85,4,16
86,16,4
87,16,12
88,12,16
89,1,12
90,12,1
91,-1,12
92,12,-1
93,-2,24
94,24,-2
95,-3,24
96,24,-3
97,-4,3
98,3,-4
99,-5,3
100,3,-5
