# Daily-mean 10 m wind speed at Nida, 2012-2016 (m/s).
# Source: ERA5 (Copernicus Climate Change Service / ECMWF).
# Contains modified Copernicus Climate Change Service information.
day,wind_ms
0,8.0186
1,7.6767
2,9.6196
3,15.0431
4,11.5452
5,7.0961
6,9.7500
7,5.5476
8,7.0386
9,3.2480
10,10.4122
11,13.6662
12,12.5559
13,11.7340
14,7.7802
15,3.6770
16,3.6635
17,6.7047
18,8.3812
19,1.9304
20,6.4309
21,8.7768
22,4.3100
23,4.9576
24,4.8083
25,8.3475
26,9.5032
27,10.3035
28,8.9577
29,8.0482
30,6.4537
31,7.4396
32,4.8003
33,11.6768
34,7.8740
35,4.2502
36,7.0007
37,6.2644
38,4.6478
39,8.6299
40,4.7609
41,3.0771
42,8.7054
43,3.5886
44,8.3117
45,9.9910
46,4.0013
47,7.9174
48,5.1548
49,9.6843
50,7.6088
51,11.3941
52,9.2525
53,14.3079
54,10.9307
55,12.3075
56,11.3092
57,6.3320
58,8.1178
59,5.7338
60,6.6051
61,11.4211
62,9.3706
63,5.4100
64,5.9545
65,5.0041
66,3.6224
67,6.9112
68,5.5349
69,10.1523
70,11.2866
71,6.5718
72,8.7764
73,7.7946
74,5.9474
75,5.7997
76,5.2488
77,2.2116
78,12.4330
79,11.8685
80,8.1582
81,5.9027
82,6.5464
83,2.8380
84,10.7685
85,6.3565
86,9.8775
87,8.3305
88,9.4244
89,6.3758
90,6.6365
91,9.1407
92,12.1456
93,4.6240
94,7.3766
95,3.5571
96,4.2379
97,2.9850
98,10.5457
99,4.7499
100,9.4690
101,7.7440
102,4.8027
103,6.0717
104,4.0174
105,6.2218
106,8.4614
107,7.5530
108,5.0971
109,7.1587
110,3.3722
111,3.1882
112,2.5626
113,2.4305
114,6.0556
115,8.8455
116,6.9210
117,4.0232
118,4.1427
119,4.6258
120,6.6319
121,6.2773
122,4.0298
123,3.0201
124,4.5642
125,4.8821
126,6.4701
127,2.7047
128,2.7038
129,5.8312
130,7.0108
131,6.9103
132,10.2774
133,4.6814
134,3.3801
135,4.4631
136,5.7811
137,8.9230
138,4.8192
139,4.9448
140,4.5020
141,6.2717
142,4.7070
143,7.5124
144,6.7246
145,5.2759
146,4.9379
147,5.3060
148,3.9672
149,6.3955
150,6.7871
151,3.1230
152,4.3080
153,10.6877
154,6.1811
155,2.3388
156,3.5254
157,3.7018
158,2.4261
159,5.0667
160,2.7292
161,2.1407
162,4.3218
163,2.1637
164,4.6785
165,5.9872
166,6.4507
167,4.5076
168,6.4385
169,4.6759
170,7.6750
171,2.5945
172,5.5393
173,5.8390
174,8.6288
175,5.8407
176,11.1038
177,13.4180
178,9.5300
179,4.9948
180,4.0777
181,5.4078
182,3.4263
183,4.3934
184,5.3433
185,3.0520
186,2.8261
187,5.1259
188,3.7462
189,3.4539
190,4.0849
191,4.4297
192,4.8783
193,4.1723
194,6.3863
195,8.2751
196,11.5162
197,10.3307
198,7.2355
199,8.6455
200,6.4721
201,9.3544
202,7.2332
203,4.8573
204,6.4355
205,3.5751
206,4.2164
207,3.1964
208,3.4969
209,4.9523
210,5.7911
211,3.6280
212,3.9474
213,2.2428
214,6.5988
215,5.4230
216,4.2597
217,3.5028
218,5.8726
219,9.9455
220,11.1334
221,8.8969
222,7.8600
223,6.8370
224,4.9755
225,6.2526
226,7.6226
227,4.6299
228,3.6858
229,5.7029
230,5.2262
231,6.6636
232,3.8501
233,7.0646
234,7.9003
235,11.4543
236,4.8246
237,2.2790
238,5.2451
239,8.6936
240,4.5576
241,2.6785
242,6.4483
243,8.4584
244,7.2532
245,6.5508
246,7.4714
247,6.2416
248,9.6426
249,8.8519
250,11.5852
251,12.5594
252,5.4676
253,7.3443
254,6.0236
255,4.4202
256,2.3381
257,8.6002
258,9.4022
259,6.2577
260,7.3707
261,5.3927
